Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Eritrea,ERI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.986057196,-1.409294388,-7.143476239,-2.980758192,-1.303165484,-4.075877382,-1.224527498,-11.73427848,1.974014581,0.565915707,7.207605266,,,,,,,,
Spain,ESP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.214081018,1.290050047,1.136253252,1.35870928,1.915695738,2.357813153,1.704522023,-0.709567924,-4.611871706,-0.297088607,-1.166192626,-3.02242537,-1.111898854,1.687449704,3.915768451,2.945440377,2.649590648,2.065112042,
Estonia,EST,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.656808289,7.481060486,8.24392775,7.407646111,10.11865727,10.36763319,8.065440314,-4.834112172,-14.26876537,2.941401323,7.768254622,3.479973212,1.707513193,3.257770915,1.778145159,2.601693921,5.620848822,4.483568571,
Ethiopia,ETH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.227310742,-1.354735345,-4.911302787,10.40753969,8.733083824,7.80874178,8.437269944,7.793024525,5.843997442,9.460597148,8.094849899,5.616582788,7.499864344,7.213187282,7.391451495,6.509676197,6.625757161,4.048070239,
European Union,EUU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.134794079,1.0389534,0.893833618,2.160881561,1.712275823,3.00197743,2.647718627,0.136372219,-4.602657151,1.944311354,1.850275844,-0.637764532,-0.032423325,1.419412684,2.046869123,1.739628148,2.402903859,1.811652504,
Fragile and conflict affected situations,FCS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.303238585,-3.094782257,-7.136612823,11.1727115,3.99513738,4.271428954,2.918618929,3.024719984,2.175144993,4.111259326,-7.614530434,9.784915589,1.46502599,-1.189942475,-0.035269687,3.584164382,0.558420574,-0.2269191,
Finland,FIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.376383812,1.460881565,1.760756162,3.69083354,2.428460542,3.628982301,4.851983559,0.315908016,-8.513195827,2.714919864,2.073262419,-1.865400894,-1.357536308,-0.77614038,0.22990993,2.333447122,2.809733652,1.490208143,
Fiji,FJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.634194943,3.031386763,0.898637462,5.07030856,0.241116559,1.081580634,-1.837179569,-0.063272142,-2.342098834,2.214559014,2.273244475,1.221403139,4.669003197,5.50052607,4.401855218,2.066562945,4.817786841,2.820319292,
France,FRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.244192104,0.402709914,0.11107373,2.075384202,0.899762891,1.737523985,1.792993386,-0.303770529,-3.37173719,1.44701286,1.69963012,-0.171212887,0.059905733,0.472969998,0.691921866,0.692650644,2.251980936,1.539463118,
Faroe Islands,FRO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,
