City,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
Ouro Preto do Oeste,BR,1584368129,73,-10.75,-62.22,83.39,83.39,4.99
Ladário,BR,1584368131,78,-19.0,-57.6,84.2,82.4,10.29
Arequipa,PE,1584368001,77,-16.4,-71.53,60.8,60.8,4.7
Port Montt,CL,1584367909,93,-41.47,-72.94,55.4,55.4,3.36
Taminango,CO,1584368137,100,1.57,-77.29,62.6,62.6,1.77
Tacna,PE,1584368139,77,-18.01,-70.25,73.4,69.8,3.36
Esperantinópolis,BR,1584368142,89,-4.87,-44.71,76.55,76.55,5.84
Vila Velha,BR,1584368144,62,-20.33,-40.29,86.0,84.99,8.05
Santa Quitéria do Maranhão,BR,1584368146,93,-3.52,-42.55,78.71,78.71,4.68
Araguari,BR,1584368148,54,-18.65,-48.19,78.8,78.8,9.17
Villazón,BO,1584368150,56,-22.09,-65.59,59.81,59.81,10.16
Constitución,CL,1584368152,47,-35.33,-72.42,66.65,66.65,6.82
Maragogi,BR,1584368154,76,-9.01,-35.22,81.77,81.77,10.47
Pompéia,BR,1584368156,70,-22.11,-50.17,82.85,82.85,8.88
Punta Alta,AR,1584368158,36,-38.88,-62.07,74.93,74.93,5.12
Itacurubí de la Cordillera,PY,1584368161,27,-25.45,-56.85,100.85,100.85,3.8
Lircay,PE,1584368163,63,-12.99,-74.72,62.6,62.6,1.12
Orocué,CO,1584368165,32,4.79,-71.34,93.65,93.65,14.92
Nhamundá,BR,1584368167,71,-2.19,-56.71,83.93,83.93,5.53
Buritis,BR,1584368169,71,-15.62,-46.42,79.43,79.43,4.45
Quito,EC,1584368042,93,-0.23,-78.52,57.2,55.0,4.7
São José de Ribamar,BR,1584368060,94,-2.56,-44.05,77.0,77.0,6.93
Campana,AR,1584368072,64,-34.17,-58.96,73.99,68.0,9.17
Rio Branco,BR,1584368178,100,-9.97,-67.81,77.0,77.0,4.7
